tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***23117,20180601,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,926,NR,128 LAUDER AVE,NA,NA,ON
***88549,20171012,29,PARK PROHIBITED TIME NO PERMIT,30,2052,OPP,4 NEW ST,NA,NA,ON
***20132,20170108,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,1531,NR,54 BOWSFIELD RD,NA,NA,ON
***92571,20180323,415,PARK COMMERC LOAD ZONE NOT LDG,40,1009,NR,811 DANFORTH AVE,NA,NA,ON
***45858,20161008,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,828,NR,44 BALLIOL ST,NA,NA,ON
***54347,20161209,347,PARK IN A FIRE ROUTE,250,1554,NA,3401 DUFFERIN,NA,NA,ON
***48566,20160919,210,PARK FAIL TO DISPLAY RECEIPT,30,1023,NR,2323 BLOOR ST W,NA,NA,ON
***93333,20161109,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1649,NR,148 TIMES RD,NA,NA,ON
***14095,20181214,8,STAND VEH.-PROHIBIT TIME/DAY,60,932,NR,50 LOMBARD ST,NA,NA,ON
***70748,20171104,29,PARK PROHIBITED TIME NO PERMIT,30,17,NR,196 QUEBEC AVE,NA,NA,ON
***00019,20170612,207,PARK MACHINE-REQD FEE NOT PAID,30,812,NR,1829 QUEEN ST E,NA,NA,ON
***47774,20160629,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1140,NR,179 EMPRESS AVE,NA,NA,ON
***88625,20170804,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1208,NR,25 HAYDEN ST,NA,NA,ON
***49365,20160606,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,801,NR,164 COLIN AVE,NA,NA,ON
***72454,20160125,48,FAIL TO PARK/STOP PARALL. CURB,15,1001,NR,14 CAMPERDOWN AVE,NA,NA,ON
***38623,20160621,207,PARK MACHINE-REQD FEE NOT PAID,30,1332,NR,633 BLOOR ST W,NA,NA,ON
***17766,20160415,207,PARK MACHINE-REQD FEE NOT PAID,30,2041,NR,2397 BLOOR ST W,NA,NA,ON
***99858,20160426,210,PARK FAIL TO DISPLAY RECEIPT,30,1952,NR,140 CARLTON ST,NA,NA,ON
***89622,20160224,210,PARK FAIL TO DISPLAY RECEIPT,30,1413,NR,2910 LAKE SHORE BLVD W,NA,NA,ON
***08127,20180420,207,PARK MACHINE-REQD FEE NOT PAID,30,2047,OPP,70 MILL ST,NA,NA,ON
***72335,20170310,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1430,OPP,328 WELLINGTON ST W,NA,NA,ON
***64516,20160525,29,PARK PROHIBITED TIME NO PERMIT,30,704,NR,139 WOLVERLEIGH BLVD,NA,NA,ON
***42221,20180812,3,PARK ON PRIVATE PROPERTY,30,1321,NA,150 EGLINTON AVE E,NA,NA,ON
***86256,20171207,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,308,NR,21 CLAIRTRELL RD,NA,NA,ON
***90638,20170810,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1352,NR,349 DURIE ST,NA,NA,ON
***69205,20160120,192,STAND SIGNED TRANSIT STOP,60,1222,NR,2112 DANFORTH AVE,NA,NA,ON
***79008,20160131,210,PARK FAIL TO DISPLAY RECEIPT,30,1311,NR,503 DANFORTH AVE,NA,NA,ON
***08917,20171122,207,PARK MACHINE-REQD FEE NOT PAID,30,1159,OPP,21 ARMOURY ST,NA,NA,ON
***37424,20171024,207,PARK MACHINE-REQD FEE NOT PAID,30,1208,NR,438 UNIVERSITY AVE,NA,NA,ON
***31458,20160624,3,PARK ON PRIVATE PROPERTY,30,422,NA,3050 PHARMACY AVE,NA,NA,ON
***04480,20171202,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1615,NR,2401 YONGE ST,NA,NA,ON
***31811,20170823,2,PARK - LONGER THAN 3 HOURS,15,237,NR,170 SANTAMONICA BLVD,NA,NA,ON
***67283,20160211,5,PARK-SIGNED HWY-PROHIBIT DY/TM,40,1122,NR,278 BERKELEY ST,NA,NA,ON
***66393,20180526,8,STAND VEH.-PROHIBIT TIME/DAY,60,1623,NR,368 GERRARD ST E,NA,NA,ON
